# tau_n,Omegabh2,p_npdg,p_dpHe3g,Yp,DoH,He3oH,Li7oH
8.794197e+02,2.236180e-02,-4.915408e-01,5.620565e-02,2.470315e-01,2.515690e+00,1.044843e+00,5.349534e+00
8.786701e+02,2.257892e-02,8.466128e-02,-2.813700e-01,2.469725e-01,2.484577e+00,1.036958e+00,5.443485e+00
8.789973e+02,2.237028e-02,2.767436e+00,-2.468238e-01,2.469640e-01,2.514579e+00,1.043545e+00,5.432702e+00
8.795872e+02,2.239868e-02,8.345255e-01,4.879914e-01,2.470832e-01,2.499356e+00,1.048426e+00,5.442547e+00
8.800932e+02,2.270661e-02,1.049499e+00,-1.078957e+00,2.473138e-01,2.474054e+00,1.027593e+00,5.478948e+00
8.797653e+02,2.226793e-02,8.439369e-01,-1.628042e+00,2.470622e-01,2.565304e+00,1.033941e+00,5.199580e+00
8.780252e+02,2.218032e-02,1.479462e+00,-3.481698e-01,2.466719e-01,2.551891e+00,1.046478e+00,5.285323e+00
8.795826e+02,2.236417e-02,-1.900717e-01,7.641144e-01,2.470699e-01,2.502007e+00,1.051199e+00,5.418239e+00
8.794432e+02,2.236585e-02,-2.054761e+00,1.687553e+00,2.470329e-01,2.490356e+00,1.058530e+00,5.436277e+00
8.796483e+02,2.222099e-02,-1.885861e-01,7.821282e-01,2.470196e-01,2.529127e+00,1.055015e+00,5.343920e+00
8.803697e+02,2.214514e-02,8.117357e-01,-1.468264e+00,2.471359e-01,2.586399e+00,1.038223e+00,5.158141e+00
8.781621e+02,2.264648e-02,-9.698004e-01,-2.323672e-01,2.468945e-01,2.471678e+00,1.034795e+00,5.454293e+00
8.790453e+02,2.234903e-02,-1.763660e-01,2.566344e-01,2.469527e-01,2.515395e+00,1.047224e+00,5.366118e+00
8.797545e+02,2.219016e-02,-6.917697e-01,1.775911e-01,2.470302e-01,2.545410e+00,1.050236e+00,5.265548e+00
8.784510e+02,2.243739e-02,1.502029e+00,5.393046e-01,2.468774e-01,2.486457e+00,1.048144e+00,5.490683e+00
8.802856e+02,2.228363e-02,7.494570e-01,-9.170489e-01,2.471806e-01,2.548792e+00,1.039255e+00,5.266768e+00
8.796210e+02,2.226207e-02,6.515406e-01,6.494309e-02,2.470296e-01,2.530657e+00,1.047974e+00,5.339169e+00
